,0
0,rmse
1,SLATB001
2,SPAN
3,EFFTB003
4,TMNFTB003
5,CVO
6,FLTB003
7,TDWI
8,CVL
9,TEFFMX
94,"[3.2136870071358574, 0.0017427157637517374, 36.38064850649063, 0.2410838191300842, 1.1084357451063396, 0.737191706853176, 0.5854032780834223, 32.99474242336078, 0.5509430892877643, 34.284028486049145]"
95,"[0.5990454977531591, 0.004043664349384922, 43.693798153566604, 0.20139184168041885, 1.2264475982695624, 0.5680764924014199, 0.5592835836647969, 30.052846245070043, 0.5036005803512587, 36.863884786754745]"
96,"[3.6119709895625536, 0.0034536811481018074, 46.885619001180835, 0.5570129686946272, 1.2769607115142063, 0.7033795833249539, 0.6557405790376286, 46.00132966018257, 0.5876040038406986, 23.529958914331544]"
97,"[3.2651920283996136, 0.0013471435195888868, 49.516829479598286, 0.16777828051918595, 1.3217731163438546, 0.7259868366451261, 0.7454819565623635, 27.194185986966097, 0.6260881302376301, 28.117674193848963]"
98,"[4.03066913860764, 0.003143471699068839, 39.306211629985214, 0.46980696230355923, 1.3577908288039824, 0.6291951608327366, 0.7038486166946155, 59.019082225798144, 0.7098782743563662, 42.64465870623819]"
99,"[2.8090591976657726, 0.0038961409179563656, 34.36397384736763, 0.3898919757216816, 1.0599573572274996, 0.7592471491549585, 0.7228073800265028, 53.68822240878752, 0.5655139148637713, 39.61266908361702]"
100,"[1.1773378688625744, 0.002692244624205041, 40.85904742401583, 0.30882613770371475, 1.1601040546506944, 0.5909526243421056, 0.5341549700971461, 66.08292904579983, 0.530052500494388, 44.197982682945366]"
101,"[3.3941349633982543, 0.001036777837550339, 42.833618515619854, 0.2831809791424611, 1.0352179226720122, 0.6869017983871089, 0.5999603759022402, 38.089914001339245, 0.871768913077917, 24.86370928945488]"
102,"[1.7450529332869125, 0.0030303130410748885, 27.948641918258925, 0.4448530061616404, 1.136672023355329, 0.985420191995427, 0.5744318874562341, 64.09202338292982, 0.41660591485785425, 38.397851422443836]"
103,"[2.626318358089725, 0.002450721806193802, 26.096078611079275, 0.25525371501531935, 0.9940775991591312, 0.7868601482167767, 0.6184915065124283, 69.74457903273635, 0.6620199353149541, 33.53406988970274]"
